HDR,ROLLING SYSTEM DEMAND,
VD,2.02109E+13,32698
VD,2.02109E+13,32760
VD,2.02109E+13,32832
VD,2.02109E+13,32877
VD,2.02109E+13,32878
VD,2.02109E+13,32930
VD,2.02109E+13,33050
VD,2.02109E+13,33090
VD,2.02109E+13,33163
VD,2.02109E+13,33124
VD,2.02109E+13,33043
VD,2.02109E+13,32896
VD,2.02109E+13,32900
VD,2.02109E+13,32900
VD,2.02109E+13,32658
VD,2.02109E+13,32522
VD,2.02109E+13,32433
VD,2.02109E+13,32232
VD,2.02109E+13,32051
VD,2.02109E+13,31877
VD,2.02109E+13,31731
VD,2.02109E+13,31492
VD,2.02109E+13,31280
VD,2.02109E+13,31083
VD,2.02109E+13,31113
VD,2.02109E+13,31059
VD,2.02109E+13,30693
VD,2.02109E+13,30476
VD,2.02109E+13,30203
VD,2.02109E+13,29980
VD,2.02109E+13,30009
VD,2.02109E+13,29800
VD,2.02109E+13,29681
VD,2.02109E+13,29446
VD,2.02109E+13,29363
VD,2.02109E+13,29146
VD,2.02109E+13,28868
VD,2.02109E+13,28396
VD,2.02109E+13,28084
VD,2.02109E+13,27924
VD,2.02109E+13,27760
VD,2.02109E+13,27553
VD,2.02109E+13,27577
VD,2.02109E+13,27408
VD,2.02109E+13,27262
VD,2.02109E+13,26994
VD,2.02109E+13,26838
VD,2.02109E+13,26620
VD,2.02109E+13,26314
VD,2.02109E+13,25979
VD,2.02109E+13,25770
VD,2.02109E+13,25542
VD,2.02109E+13,25254
VD,2.02109E+13,25111
VD,2.02109E+13,24731
VD,2.02109E+13,24631
VD,2.02109E+13,24577
VD,2.02109E+13,24600
VD,2.02109E+13,24531
VD,2.02109E+13,24451
VD,2.02109E+13,24482
VD,2.02109E+13,24322
VD,2.02109E+13,24158
VD,2.02109E+13,24032
VD,2.02109E+13,23942
VD,2.02109E+13,24008
VD,2.02109E+13,24177
VD,2.02109E+13,24216
VD,2.02109E+13,23985
VD,2.02109E+13,23868
VD,2.02109E+13,23809
VD,2.02109E+13,23759
VD,2.02109E+13,23735
VD,2.02109E+13,23658
VD,2.02109E+13,23716
VD,2.02109E+13,23679
VD,2.02109E+13,23621
VD,2.02109E+13,23560
VD,2.02109E+13,23384
VD,2.02109E+13,23226
VD,2.02109E+13,23143
VD,2.02109E+13,23121
VD,2.02109E+13,23126
VD,2.02109E+13,21890
VD,2.02109E+13,21860
VD,2.02109E+13,22970
VD,2.02109E+13,22896
VD,2.02109E+13,22823
VD,2.02109E+13,22848
VD,2.02109E+13,22929
VD,2.02109E+13,22977
VD,2.02109E+13,22924
VD,2.02109E+13,22863
VD,2.02109E+13,22805
VD,2.02109E+13,22753
VD,2.02109E+13,22778
VD,2.02109E+13,22807
VD,2.02109E+13,22760
VD,2.02109E+13,22683
VD,2.02109E+13,22693
VD,2.02109E+13,22696
VD,2.02109E+13,22694
VD,2.02109E+13,22723
VD,2.02109E+13,22763
VD,2.02109E+13,22887
VD,2.02109E+13,22908
VD,2.02109E+13,22870
VD,2.02109E+13,22852
VD,2.02109E+13,22827
VD,2.02109E+13,22914
VD,2.02109E+13,22972
VD,2.02109E+13,23008
VD,2.02109E+13,23163
VD,2.02109E+13,23337
VD,2.02109E+13,23363
VD,2.02109E+13,23390
VD,2.02109E+13,23519
VD,2.02109E+13,23585
VD,2.02109E+13,23570
VD,2.02109E+13,23655
VD,2.02109E+13,23763
VD,2.02109E+13,23879
VD,2.02109E+13,23963
VD,2.02109E+13,24094
VD,2.02109E+13,24158
VD,2.02109E+13,24362
VD,2.02109E+13,24682
VD,2.02109E+13,25182
VD,2.02109E+13,25455
VD,2.02109E+13,25587
VD,2.02109E+13,25877
VD,2.02109E+13,26052
VD,2.02109E+13,26365
VD,2.02109E+13,26703
VD,2.02109E+13,26884
VD,2.02109E+13,26958
VD,2.02109E+13,26994
VD,2.02109E+13,27327
VD,2.02109E+13,27811
VD,2.02109E+13,28290
VD,2.02109E+13,28606
VD,2.02109E+13,28987
VD,2.02109E+13,29179
VD,2.02109E+13,29264
VD,2.02109E+13,29576
VD,2.02109E+13,29768
VD,2.02109E+13,29929
VD,2.02109E+13,30099
VD,2.02109E+13,30269
VD,2.02109E+13,30237
VD,2.02109E+13,30362
VD,2.02109E+13,30575
VD,2.02109E+13,30932
VD,2.02109E+13,31018
VD,2.02109E+13,31088
VD,2.02109E+13,31352
VD,2.02109E+13,31401
VD,2.02109E+13,31435
VD,2.02109E+13,31473
VD,2.02109E+13,31566
VD,2.02109E+13,31584
VD,2.02109E+13,31652
VD,2.02109E+13,31756
VD,2.02109E+13,31935
VD,2.02109E+13,31867
VD,2.02109E+13,31679
VD,2.02109E+13,31611
VD,2.02109E+13,31596
VD,2.02109E+13,31569
VD,2.02109E+13,31491
VD,2.02109E+13,31440
VD,2.02109E+13,31477
VD,2.02109E+13,31406
VD,2.02109E+13,31153
VD,2.02109E+13,31088
VD,2.02109E+13,31138
VD,2.02109E+13,31199
VD,2.02109E+13,31260
VD,2.02109E+13,31220
VD,2.02109E+13,31237
VD,2.02109E+13,31244
VD,2.02109E+13,31134
VD,2.02109E+13,31027
VD,2.02109E+13,30961
VD,2.02109E+13,30869
VD,2.02109E+13,30864
VD,2.02109E+13,30935
VD,2.02109E+13,31054
VD,2.02109E+13,31074
VD,2.02109E+13,31023
VD,2.02109E+13,31035
VD,2.02109E+13,30967
VD,2.02109E+13,30877
VD,2.02109E+13,30826
VD,2.02109E+13,30838
VD,2.02109E+13,30768
VD,2.02109E+13,30715
VD,2.02109E+13,30682
VD,2.02109E+13,30695
VD,2.02109E+13,30684
VD,2.02109E+13,30736
VD,2.02109E+13,30792
VD,2.02109E+13,30717
VD,2.02109E+13,30664
VD,2.02109E+13,30724
VD,2.02109E+13,30695
VD,2.02109E+13,30651
VD,2.02109E+13,30917
VD,2.02109E+13,30898
VD,2.02109E+13,30792
VD,2.02109E+13,30729
VD,2.02109E+13,30843
VD,2.02109E+13,30747
VD,2.02109E+13,30612
VD,2.02109E+13,30455
VD,2.02109E+13,30229
VD,2.02109E+13,30032
VD,2.02109E+13,29995
VD,2.02109E+13,29990
VD,2.02109E+13,29879
VD,2.02109E+13,29838
VD,2.02109E+13,29798
VD,2.02109E+13,29781
VD,2.02109E+13,29773
VD,2.02109E+13,29713
VD,2.02109E+13,29636
VD,2.02109E+13,29554
VD,2.02109E+13,29434
VD,2.02109E+13,29492
VD,2.02109E+13,29515
VD,2.02109E+13,29555
VD,2.02109E+13,29482
VD,2.02109E+13,29445
VD,2.02109E+13,29199
VD,2.02109E+13,29188
VD,2.02109E+13,29246
VD,2.02109E+13,29177
VD,2.02109E+13,29172
VD,2.02109E+13,29330
VD,2.02109E+13,29282
VD,2.02109E+13,29369
VD,2.02109E+13,29366
VD,2.02109E+13,29519
VD,2.02109E+13,29706
VD,2.02109E+13,29750
VD,2.02109E+13,29836
VD,2.02109E+13,29855
VD,2.02109E+13,29939
VD,2.02109E+13,30149
VD,2.02109E+13,30180
VD,2.02109E+13,30364
VD,2.02109E+13,30566
VD,2.02109E+13,30758
VD,2.02109E+13,30942
VD,2.02109E+13,30915
VD,2.02109E+13,30891
VD,2.02109E+13,30963
VD,2.02109E+13,31057
VD,2.02109E+13,31201
VD,2.02109E+13,31344
VD,2.02109E+13,31583
VD,2.02109E+13,31768
VD,2.02109E+13,31865
VD,2.02109E+13,31966
VD,2.02109E+13,31969
VD,2.02109E+13,31931
VD,2.02109E+13,32008
VD,2.02109E+13,31991
VD,2.02109E+13,31874
VD,2.02109E+13,31942
VD,2.02109E+13,32138
VD,2.02109E+13,32177
VD,2.02109E+13,32106
VD,2.02109E+13,32026
VD,2.02109E+13,32006
VD,2.02109E+13,32097
VD,2.02109E+13,32173
VD,2.02109E+13,32213
VD,2.02109E+13,32224
VD,2.02109E+13,32336
VD,2.02109E+13,32428
VD,2.02109E+13,32469
VD,2.02109E+13,32498
VD,2.02109E+13,32471
VD,2.02109E+13,32396
VD,2.02109E+13,32367
VD,2.02109E+13,32334
VD,2.02109E+13,32316
VD,2.02109E+13,32312
VD,2.02109E+13,32279
VD,2.02109E+13,32237
VD,2.02109E+13,32299
VD,2.02109E+13,32232
VD,2.02109E+13,32167
VD,2.02109E+13,32355
VD,2.02109E+13,32460
VD,2.02109E+13,32418
VD,2.02109E+13,32277
VD,2.02109E+13,32243
VD,2.02109E+13,32086
VD,2.02109E+13,31939
VD,2.02109E+13,31957
VD,2.02109E+13,31904
VD,2.02109E+13,31742
VD,2.02109E+13,31488
VD,2.02109E+13,31468
VD,2.02109E+13,31451
VD,2.02109E+13,31352
VD,2.02109E+13,30952
VD,2.02109E+13,30818
VD,2.02109E+13,30543
VD,2.02109E+13,30383
VD,2.02109E+13,30204
VD,2.02109E+13,29999
VD,2.02109E+13,29943
VD,2.02109E+13,29874
VD,2.02109E+13,29479
VD,2.02109E+13,29218
VD,2.02109E+13,29153
VD,2.02109E+13,29032
VD,2.02109E+13,28870
VD,2.02109E+13,28727
VD,2.02109E+13,28597
VD,2.02109E+13,28277
VD,2.02109E+13,28011
VD,2.02109E+13,27557
VD,2.02109E+13,27372
VD,2.02109E+13,27167
VD,2.02109E+13,26940
VD,2.02109E+13,26680
VD,2.02109E+13,26166
VD,2.02109E+13,25826
VD,2.02109E+13,25625
VD,2.02109E+13,25388
VD,2.02109E+13,25202
VD,2.02109E+13,24958
VD,2.02109E+13,24829
VD,2.02109E+13,24521
VD,2.02109E+13,24204
VD,2.02109E+13,23974
VD,2.02109E+13,23849
VD,2.02109E+13,23630
VD,2.02109E+13,23442
VD,2.02109E+13,23250
VD,2.02109E+13,23025
VD,2.02109E+13,22878
VD,2.02109E+13,22724
VD,2.02109E+13,22555
VD,2.02109E+13,22500
VD,2.02109E+13,22486
VD,2.02109E+13,22370
VD,2.02109E+13,22306
VD,2.02109E+13,22260
VD,2.02109E+13,22071
VD,2.02109E+13,22021
VD,2.02109E+13,21907
VD,2.02109E+13,21901
VD,2.02109E+13,21914
VD,2.02109E+13,21890
VD,2.02109E+13,21888
VD,2.02109E+13,22018
VD,2.02109E+13,22030
VD,2.02109E+13,21957
VD,2.02109E+13,21817
VD,2.02109E+13,21741
VD,2.02109E+13,21697
VD,2.02109E+13,21851
VD,2.02109E+13,21900
VD,2.02109E+13,21791
VD,2.02109E+13,21697
VD,2.02109E+13,21657
VD,2.02109E+13,21642
VD,2.02109E+13,21646
VD,2.02109E+13,21639
VD,2.02109E+13,21698
VD,2.02109E+13,21741
VD,2.02109E+13,21720
VD,2.02109E+13,21660
VD,2.02109E+13,21560
VD,2.02109E+13,21571
VD,2.02109E+13,21543
VD,2.02109E+13,21499
VD,2.02109E+13,21492
VD,2.02109E+13,21467
VD,2.02109E+13,21511
VD,2.02109E+13,21500
VD,2.02109E+13,21483
VD,2.02109E+13,21468
VD,2.02109E+13,21368
VD,2.02109E+13,21327
VD,2.02109E+13,21361
VD,2.02109E+13,21411
VD,2.02109E+13,21397
VD,2.02109E+13,21413
VD,2.02109E+13,21358
VD,2.02109E+13,21363
VD,2.02109E+13,21433
VD,2.02109E+13,21467
VD,2.02109E+13,21440
VD,2.02109E+13,21422
VD,2.02109E+13,21468
VD,2.02109E+13,21464
VD,2.02109E+13,21489
VD,2.02109E+13,21633
VD,2.02109E+13,21759
VD,2.02109E+13,21803
VD,2.02109E+13,21843
VD,2.02109E+13,21730
VD,2.02109E+13,21717
VD,2.02109E+13,21754
VD,2.02109E+13,21876
VD,2.02109E+13,22040
VD,2.02109E+13,22181
VD,2.02109E+13,22256
VD,2.02109E+13,22279
VD,2.02109E+13,22223
VD,2.02109E+13,22211
VD,2.02109E+13,22161
VD,2.02109E+13,22207
VD,2.02109E+13,22247
VD,2.02109E+13,22359
VD,2.02109E+13,22444
VD,2.02109E+13,22579
VD,2.02109E+13,22731
VD,2.02109E+13,23003
VD,2.02109E+13,23220
VD,2.02109E+13,23416
VD,2.02109E+13,23718
VD,2.02109E+13,24002
VD,2.02109E+13,24176
VD,2.02109E+13,24279
VD,2.02109E+13,24328
VD,2.02109E+13,24428
VD,2.02109E+13,24445
VD,2.02109E+13,24628
VD,2.02109E+13,24895
VD,2.02109E+13,25227
VD,2.02109E+13,25366
VD,2.02109E+13,25790
VD,2.02109E+13,26151
VD,2.02109E+13,26304
VD,2.02109E+13,26506
VD,2.02109E+13,26712
VD,2.02109E+13,26845
VD,2.02109E+13,26854
VD,2.02109E+13,26982
VD,2.02109E+13,27159
VD,2.02109E+13,27263
