Season,Site,Month,Day,Year,ND Coach,W/L/T,Score,ND Rank,Opponent,Opp. Coach,Opp. Rank
1887,HOME,NOV,23,1887,NO COACH,L,0-8,No Poll,MICHIGAN,NO COACH,No Poll
1888,HOME,APR,20,1888,NO COACH,L,6-26,No Poll,MICHIGAN,NO COACH,No Poll
1888,HOME,APR,21,1888,NO COACH,L,4-10,No Poll,MICHIGAN,NO COACH,No Poll
1888,HOME,DEC,6,1888,NO COACH,W,20-0,No Poll,HARVARD PREP,UNKNOWN,No Poll
1889,AWAY,NOV,14,1889,NO COACH,W,9-0,No Poll,NORTHWESTERN,NO COACH,No Poll
1892,HOME,OCT,19,1892,NO COACH,W,56-0,No Poll,SOUTH BEND HS,UNKNOWN,No Poll
1892,HOME,NOV,24,1892,NO COACH,T,10-10,No Poll,HILLSDALE,NO COACH,No Poll
1893,HOME,OCT,25,1893,NO COACH,W,34-0,No Poll,KALAMAZOO,NO COACH,No Poll
1893,HOME,NOV,11,1893,NO COACH,W,8-6,No Poll,ALBION,COACH ATWOOD,No Poll
1893,HOME,NOV,23,1893,NO COACH,W,28-0,No Poll,De LaSALLE,UNKNOWN,No Poll
1893,HOME,NOV,30,1893,NO COACH,W,22-10,No Poll,HILLSDALE,NO COACH,No Poll
1893,AWAY,JAN,1,1894,NO COACH,L,0-8,No Poll,CHICAGO,AMOS ALONZO STAGG,No Poll
1894,HOME,OCT,13,1894,MORISON,W,14-0,No Poll,HILLSDALE,NO COACH,No Poll
1894,HOME,OCT,20,1894,MORISON,T,6-6,No Poll,ALBION,COACH GAGE,No Poll
1894,HOME,NOV,15,1894,MORISON,W,30-0,No Poll,WABASH,VERNON RANDALL,No Poll
1894,HOME,NOV,22,1894,MORISON,W,18-6,No Poll,RUSH MEDICAL,UNKNOWN,No Poll
1894,HOME,NOV,29,1894,MORISON,L,12-19,No Poll,ALBION,COACH GAGE,No Poll
1895,HOME,OCT,19,1895,HADDEN,W,20-0,No Poll,NORTHESTERN LAW,UNKNOWN,No Poll
1895,HOME,NOV,7,1895,HADDEN,W,18-2,No Poll,ILLINOIS CYCLING,UNKNOWN,No Poll
1895,HOME,NOV,22,1895,HADDEN,L,0-18,No Poll,INDIANAPOLIS ARTILLERY,UNKNOWN,No Poll
1895,HOME,NOV,28,1895,HADDEN,W,32-0,No Poll,CHICAGO PHYSICIANS,UNKNOWN,No Poll
1896,HOME,OCT,8,1896,HERING,L,0-4,No Poll,CHICAGO PHYSICIANS,UNKNOWN,No Poll
1896,HOME,OCT,14,1896,HERING,L,0-18,No Poll,CHICAGO,AMOS ALONZO STAGG,No Poll
1896,HOME,OCT,27,1896,HERING,W,46-0,No Poll,SB COMMERCIAL AC,UNKNOWN,No Poll
1896,HOME,OCT,31,1896,HERING,W,24-0,No Poll,ALBION,COACH HOWE,No Poll
1896,HOME,NOV,14,1896,HERING,L,22-28,No Poll,PURDUE,S.M. HAMMOND,No Poll
1896,HOME,NOV,20,1896,HERING,W,82-0,No Poll,HIGHLAND VIEWS,UNKNOWN,No Poll
1896,HOME,NOV,26,1896,HERING,W,8-0,No Poll,BELOIT,C.M. HOLLISTER,No Poll
1897,HOME,OCT,13,1897,HERING,T,0-0,No Poll,RUSH MEDICAL,UNKNOWN,No Poll
1897,HOME,OCT,23,1897,HERING,W,4-0,No Poll,DEPAUW,ARTHUR HAMRICK,No Poll
1897,HOME,OCT,28,1897,HERING,W,62-0,No Poll,CHICAGO DENTAL,UNKNOWN,No Poll
1897,AWAY,NOV,6,1897,HERING,L,5-34,No Poll,CHICAGO,AMOS ALONZO STAGG,No Poll
1897,HOME,NOV,13,1897,HERING,W,60-0,No Poll,ST. VIATOR,UNKNOWN,No Poll
1897,HOME,NOV,25,1897,HERING,W,34-6,No Poll,MICHIGAN STATE,HENRY KEEP,No Poll
1898,AWAY,OCT,8,1898,HERING,W,5-0,No Poll,ILLINOIS,FRED SMITH,No Poll
1898,HOME,OCT,15,1898,HERING,W,53-0,No Poll,MICHIGAN STATE,HENRY KEEP,No Poll
1898,AWAY,OCT,23,1898,HERING,L,0-23,No Poll,MICHIGAN,GUSTAVE FERBERT,No Poll
1898,HOME,OCT,29,1898,HERING,W,32-0,No Poll,DEPAUW,SAMUEL K. RUICK,No Poll
1898,HOME,NOV,5,1898,HERING,L,5-11,No Poll,INDIANA,JAMES HORNE,No Poll
1898,AWAY,NOV,19,1898,HERING,W,60-0,No Poll,ALBION,COACH JACOBS,No Poll
1899,HOME,SEP,27,1899,McWEENEY,W,29-5,No Poll,ENGLEWOOD HS,UNKNOWN,No Poll
1899,HOME,SEP,30,1899,McWEENEY,W,40-0,No Poll,MICHIGAN STATE,CHARLES BEMIES,No Poll
1899,AWAY,OCT,4,1899,McWEENEY,L,6-23,No Poll,CHICAGO,AMOS ALONZO STAGG,No Poll
1899,HOME,OCT,14,1899,McWEENEY,W,38-0,No Poll,LAKE FOREST,D.H. JACKSON,No Poll
1899,AWAY,OCT,18,1899,McWEENEY,L,0-12,No Poll,MICHIGAN,GUSTAVE FERBERT,No Poll
1899,HOME,OCT,23,1899,McWEENEY,W,17-0,No Poll,INDIANA,JAMES HORNE,No Poll
1899,HOME,OCT,27,1899,McWEENEY,W,12-0,No Poll,NORTHWESTERN,C.M. HOLLISTER,No Poll
1899,HOME,NOV,4,1899,McWEENEY,W,17-0,No Poll,RUSH MEDICAL,UNKNOWN,No Poll
1899,AWAY,NOV,18,1899,McWEENEY,T,10-10,No Poll,PURDUE,ALPHA JAMISON,No Poll
1899,HOME,NOV,30,1899,McWEENEY,L,0-5,No Poll,CHICAGO PHYSICIANS,UNKNOWN,No Poll
1900,HOME,SEP,29,1900,O'DEA,W,55-0,No Poll,GOSHEN,UNKNOWN,No Poll
1900,HOME,OCT,6,1900,O'DEA,W,68-0,No Poll,ENGLEWOOD HS,UNKNOWN,No Poll
1900,HOME,OCT,13,1900,O'DEA,W,64-0,No Poll,SB HOWARD PARK,UNKNOWN,No Poll
1900,HOME,OCT,20,1900,O'DEA,W,58-0,No Poll,CINCINNATI,DAN REED,No Poll
1900,AWAY,OCT,25,1900,O'DEA,L,0-6,No Poll,INDIANA,JAMES HORNE,No Poll
1900,HOME,NOV,3,1900,O'DEA,T,6-6,No Poll,BELOIT,JOHN HOLLISTER,No Poll
1900,AWAY,NOV,10,1900,O'DEA,L,0-54,No Poll,WISCONSIN,PHIL KING,No Poll
1900,AWAY,NOV,17,1900,O'DEA,L,0-7,No Poll,MICHIGAN,LANGDON (BIFF) LEA,No Poll
1900,HOME,NOV,24,1900,O'DEA,W,5-0,No Poll,RUSH MEDICAL,UNKNOWN,No Poll
1900,HOME,NOV,29,1900,O'DEA,W,5-0,No Poll,CHICAGO PHYSICIANS,UNKNOWN,No Poll
1901,HOME,SEP,28,1901,O'DEA,T,0-0,No Poll,SOUTH BEND AC,UNKNOWN,No Poll
1901,AWAY,OCT,5,1901,O'DEA,W,6-0,No Poll,OHIO MEDICAL,UNKNOWN,No Poll
1901,AWAY,OCT,12,1901,O'DEA,L,0-2,No Poll,NORTHWESTERN,C.M. HOLLISTER,No Poll
1901,HOME,OCT,19,1901,O'DEA,W,32-0,No Poll,CHICAGO MEDICAL,UNKNOWN,No Poll
1901,AWAY,OCT,26,1901,O'DEA,W,5-0,No Poll,BELOIT,JOHN HOLLISTER,No Poll
1901,HOME,NOV,2,1901,O'DEA,W,16-0,No Poll,LAKE FOREST,UNKNOWN,No Poll
1901,HOME,NOV,9,1901,O'DEA,W,12-6,No Poll,PURDUE,D.M. BALLIET,No Poll
1901,HOME,NOV,16,1901,O'DEA,W,18-5,No Poll,INDIANA,JAMES HORNE,No Poll
1901,HOME,NOV,23,1901,O'DEA,W,34-0,No Poll,CHICAGO PHYSICIANS,UNKNOWN,No Poll
1901,HOME,NOV,28,1901,O'DEA,W,22-6,No Poll,SOUTH BEND AC,UNKNOWN,No Poll
1902,HOME,SEP,27,1902,FARAGHER,W,33-0,No Poll,MICHIGAN STATE,GEORGE DENMAN,No Poll
1902,HOME,OCT,11,1902,FARAGHER,W,28-0,No Poll,LAKE FOREST,CLARENCE HERSCHBERGER,No Poll
1902,TOLEDO,OCT,18,1902,FARAGHER,L,0-23,No Poll,MICHIGAN,FIELDING YOST,No Poll
1902,AWAY,OCT,25,1902,FARAGHER,W,11-5,No Poll,INDIANA,JAMES HORNE,No Poll
1902,AWAY,NOV,1,1902,FARAGHER,W,6-5,No Poll,OHIO MEDICAL,UNKNOWN,No Poll
1902,AWAY,NOV,8,1902,FARAGHER,L,5-12,No Poll,KNOX,UNKNOWN,No Poll
1902,HOME,NOV,15,1902,FARAGHER,W,92-0,No Poll,AMERICAN MEDICAL,UNKNOWN,No Poll
1902,HOME,NOV,22,1902,FARAGHER,W,22-0,No Poll,DEPAUW,JAMES H. HENRY,No Poll
1902,AWAY,NOV,27,1902,FARAGHER,T,6-6,No Poll,PURDUE,C.M. BEST,No Poll
1903,HOME,OCT,3,1903,FARAGHER,W,12-0,No Poll,MICHIGAN STATE,CHESTER BREWER,No Poll
1903,HOME,OCT,10,1903,FARAGHER,W,28-0,No Poll,LAKE FOREST,CLARENCE HERSCHBERGER,No Poll
1903,HOME,OCT,17,1903,FARAGHER,W,56-0,No Poll,DEPAUW,CHAUNCEY L. BERRIEN,No Poll
1903,HOME,OCT,24,1903,FARAGHER,W,52-0,No Poll,AMERICAN MEDICAL,UNKNOWN,No Poll
1903,HOME,OCT,29,1903,FARAGHER,W,46-0,No Poll,CHICAGO PHYSICIANS,UNKNOWN,No Poll
1903,HOME,NOV,7,1903,FARAGHER,W,28-0,No Poll,MISSOURI OSTEOPATHS,UNKNOWN,No Poll
1903,AWAY,NOV,14,1903,FARAGHER,T,0-0,No Poll,NORTHWESTERN,WALTER McCORNACK,No Poll
1903,AWAY,NOV,21,1903,FARAGHER,W,35-0,No Poll,OHIO MEDICAL,UNKNOWN,No Poll
1903,AWAY,NOV,26,1903,FARAGHER,W,35-0,No Poll,WABASH,TUG WILSON,No Poll
1904,HOME,OCT,1,1904,SALMON,W,12-4,No Poll,WABASH,FRANCIS CAYOU,No Poll
1904,HOME,OCT,8,1904,SALMON,W,44-0,No Poll,AMERICAN MEDICAL,UNKNOWN,No Poll
1904,MILWAUKEE,OCT,15,1904,SALMON,L,0-58,No Poll,WISCONSIN,ART CURTIS,No Poll
1904,AWAY,OCT,22,1904,SALMON,W,17-5,No Poll,OHIO MEDICAL,UNKNOWN,No Poll
1904,HOME,OCT,27,1904,SALMON,W,6-0,No Poll,TOLEDO AA,UNKNOWN,No Poll
1904,AWAY,NOV,5,1904,SALMON,L,5-24,No Poll,KANSAS,BERT KENNEDY,No Poll
1904,HOME,NOV,19,1904,SALMON,W,10-0,No Poll,DEPAUW,J.M. McFADDEN,No Poll
1904,AWAY,NOV,24,1904,SALMON,L,0-36,No Poll,PURDUE,OLIVER CUTTS,No Poll
1905,HOME,SEP,30,1905,McGLEW,W,44-0,No Poll,NO DIVISION HS,UNKNOWN,No Poll
1905,HOME,OCT,7,1905,McGLEW,W,28-0,No Poll,MICHIGAN STATE,CHESTER BREWER,No Poll
1905,MILWAUKEE,OCT,14,1905,McGLEW,L,0-21,No Poll,WISCONSIN,PHIL KING,No Poll
1905,HOME,OCT,21,1905,McGLEW,L,0-5,No Poll,WABASH,FRANCIS CAYOU,No Poll
1905,HOME,OCT,28,1905,McGLEW,W,142-0,No Poll,AMERICAN MEDICAL,UNKNOWN,No Poll
1905,HOME,NOV,4,1905,McGLEW,W,71-0,No Poll,DEPAUW,O.H. LUCK,No Poll
1905,AWAY,NOV,11,1905,McGLEW,L,5-22,No Poll,INDIANA,JAMES SHELDON,No Poll
1905,HOME,NOV,18,1905,McGLEW,W,22-0,No Poll,BENNETT MEDICAL,UNKNOWN,No Poll
1905,AWAY,NOV,24,1905,McGLEW,L,0-32,No Poll,PURDUE,A.E. HERNSTEIN,No Poll
1906,HOME,OCT,6,1906,BARRY,W,26-0,No Poll,FRANKLIN,UNKNOWN,No Poll
1906,HOME,OCT,13,1906,BARRY,W,17-0,No Poll,HILLSDALE,WILLIAM BOONE,No Poll
1906,HOME,OCT,20,1906,BARRY,W,28-0,No Poll,CHICAGO PHYSICIANS,UNKNOWN,No Poll
1906,HOME,OCT,27,1906,BARRY,W,5-0,No Poll,MICHIGAN STATE,CHESTER BREWER,No Poll
1906,AWAY,NOV,3,1906,BARRY,W,2-0,No Poll,PURDUE,M.E. WITHAM,No Poll
1906,INDIANAPOLIS,NOV,10,1906,BARRY,L,0-12,No Poll,INDIANA,JAMES SHELDON,No Poll
1906,HOME,NOV,24,1906,BARRY,W,29-0,No Poll,BELOIT,CHARLES FAIRWEATHER,No Poll
1907,HOME,OCT,12,1907,BARRY,W,32-0,No Poll,CHICAGO PHYSICIANS,UNKNOWN,No Poll
1907,HOME,OCT,19,1907,BARRY,W,23-0,No Poll,FRANKLIN,UNKNOWN,No Poll
1907,HOME,OCT,26,1907,BARRY,W,22-4,No Poll,OLIVET,UNKNOWN,No Poll
1907,HOME,NOV,2,1907,BARRY,T,0-0,No Poll,INDIANA,JAMES SHELDON,No Poll
1907,HOME,NOV,9,1907,BARRY,W,22-4,No Poll,KNOX,UNKNOWN,No Poll
1907,AWAY,NOV,23,1907,BARRY,W,17-0,No Poll,PURDUE,L.C. TURNER,No Poll
1907,HOME,NOV,28,1907,BARRY,W,21-12,No Poll,ST. VINCENT'S,UNKNOWN,No Poll
1908,HOME,OCT,3,1908,PLACE,W,39-0,No Poll,HILLSDALE,HERBERT C. REED,No Poll
1908,HOME,OCT,10,1908,PLACE,W,64-0,No Poll,FRANKLIN,UNKNOWN,No Poll
1908,AWAY,OCT,17,1908,PLACE,L,6-12,No Poll,MICHIGAN,FIELDING YOST,No Poll
1908,HOME,OCT,24,1908,PLACE,W,88-0,No Poll,CHICAGO PHYSICIANS,UNKNOWN,No Poll
1908,HOME,OCT,29,1908,PLACE,W,58-4,No Poll,OHIO NORTHERN,SNUFF MacKOWAN,No Poll
1908,INDIANAPOLIS,NOV,7,1908,PLACE,W,11-0,No Poll,INDIANA,JAMES SHELDON,No Poll
1908,AWAY,NOV,13,1908,PLACE,W,8-4,No Poll,WABASH,RALPH JONES,No Poll
1908,HOME,NOV,18,1908,PLACE,W,46-0,No Poll,ST. VIATOR,UNKNOWN,No Poll
1908,AWAY,NOV,26,1908,PLACE,W,6-0,No Poll,MARQUETTE,WILLIAM JUNEAU,No Poll
1909,HOME,OCT,9,1909,LONGMAN,W,58-0,No Poll,OLIVET,UNKNOWN,No Poll
1909,HOME,OCT,16,1909,LONGMAN,W,60-11,No Poll,ROSE POLY,UNKNOWN,No Poll
1909,HOME,OCT,23,1909,LONGMAN,W,17-0,No Poll,MICHIGAN STATE,CHESTER BREWER,No Poll
1909,AWAY,OCT,30,1909,LONGMAN,W,6-0,No Poll,PITT,JOSEPH THOMPSON,No Poll
1909,AWAY,NOV,6,1909,LONGMAN,W,11-3,No Poll,MICHIGAN,FIELDING YOST,No Poll
1909,HOME,NOV,13,1909,LONGMAN,W,46-0,No Poll,MIAMI-OHIO,HAROLD IDDINGS,No Poll
1909,HOME,NOV,20,1909,LONGMAN,W,38-0,No Poll,WABASH,JESSE HARPER,No Poll
1909,AWAY,NOV,25,1909,LONGMAN,T,0-0,No Poll,MARQUETTE,WILLIAM JUNEAU,No Poll
1910,HOME,OCT,8,1910,LONGMAN,W,48-0,No Poll,OLIVET,UNKNOWN,No Poll
1910,HOME,OCT,22,1910,LONGMAN,W,51-0,No Poll,BUTCHEL,UNKNOWN,No Poll
1910,AWAY,OCT,29,1910,LONGMAN,L,0-17,No Poll,MICHIGAN STATE,CHESTER BREWER,No Poll
1910,AWAY,NOV,12,1910,LONGMAN,W,41-3,No Poll,ROSE POLY,UNKNOWN,No Poll
1910,HOME,NOV,19,1910,LONGMAN,W,47-0,No Poll,OHIO NORTHERN,THOMAS J. SMULL,No Poll
1910,AWAY,NOV,24,1910,LONGMAN,T,5-5,No Poll,MARQUETTE,WILLIAM JUNEAU,No Poll
1911,HOME,OCT,7,1911,MARKS,W,32-6,No Poll,OHIO NORTHERN,REV. M.J. BRADSHAW,No Poll
1911,HOME,OCT,14,1911,MARKS,W,43-0,No Poll,ST. VIATOR,UNKNOWN,No Poll
1911,HOME,OCT,21,1911,MARKS,W,27-0,No Poll,BUTLER,DAVE ALLERDICE,No Poll
1911,HOME,OCT,28,1911,MARKS,W,80-0,No Poll,LOYOLA-CHICAGO,UNKNOWN,No Poll
1911,AWAY,NOV,4,1911,MARKS,T,0-0,No Poll,PITT,JOSEPH THOMPSON,No Poll
1911,HOME,NOV,11,1911,MARKS,W,34-0,No Poll,ST. BONAVENTURE,D. PICKETT,No Poll
1911,AWAY,NOV,20,1911,MARKS,W,6-3,No Poll,WABASH,JESSE HARPER,No Poll
1911,AWAY,NOV,30,1911,MARKS,T,0-0,No Poll,MARQUETTE,WILLIAM JUNEAU,No Poll
1912,HOME,OCT,5,1912,MARKS,W,116-7,No Poll,ST. VIATOR,UNKNOWN,No Poll
1912,HOME,OCT,12,1912,MARKS,W,74-7,No Poll,ADRIAN,TOM LEITH,No Poll
1912,HOME,OCT,19,1912,MARKS,W,39-0,No Poll,MORRIS HARVEY,UNKNOWN,No Poll
1912,HOME,OCT,26,1912,MARKS,W,41-6,No Poll,WABASH,JESSE HARPER,No Poll
1912,AWAY,NOV,2,1912,MARKS,W,3-0,No Poll,PITT,JOSEPH THOMPSON,No Poll
1912,AWAY,NOV,9,1912,MARKS,W,47-7,No Poll,ST. LOUIS,UNKNOWN,No Poll
1912,CHICAGO,NOV,28,1912,MARKS,W,69-0,No Poll,MARQUETTE,C. J. KENNEY,No Poll
1913,HOME,OCT,4,1913,HARPER,W,87-0,No Poll,OHIO NORTHERN,CARL PETERS,No Poll
1913,HOME,OCT,18,1913,HARPER,W,20-7,No Poll,SOUTH DAKOTA,JAMES HENDERSON,No Poll
1913,HOME,OCT,25,1913,HARPER,W,62-0,No Poll,ALMA,W.C. BLAEMASTER,No Poll
1913,AWAY,NOV,1,1913,HARPER,W,35-13,No Poll,ARMY,CHARLES DALY,No Poll
1913,AWAY,NOV,7,1913,HARPER,W,14-7,No Poll,PENN STATE,BILL HOLLENBACK,No Poll
1913,AWAY,NOV,22,1913,HARPER,W,20-7,No Poll,CHRISTIAN BROTHERS,UNKNOWN,No Poll
1913,AWAY,NOV,27,1913,HARPER,W,30-7,No Poll,TEXAS,DAVE ALLERDICE,No Poll
1914,HOME,OCT,3,1914,HARPER,W,56-0,No Poll,ALMA,W.C. BLAEMASTER,No Poll
1914,HOME,OCT,10,1914,HARPER,W,103-0,No Poll,ROSE POLY,UNKNOWN,No Poll
1914,AWAY,OCT,17,1914,HARPER,L,0-28,No Poll,YALE,FRANK HINKEY,No Poll
1914,SIOUX FALLS,OCT,24,1914,HARPER,W,33-0,No Poll,SOUTH DAKOTA,"ION J, CORTRIGHT",No Poll
1914,HOME,OCT,31,1914,HARPER,W,20-7,No Poll,HASKELL,DOC KENNEDY,No Poll
1914,AWAY,NOV,7,1914,HARPER,L,7-11,No Poll,ARMY,CHARLES DALY,No Poll
1914,CHICAGO,NOV,14,1914,HARPER,W,48-6,No Poll,CARLISLE INDIAN SCHOOL,"GLENN ""POP"" WARNER",No Poll
1914,AWAY,NOV,26,1914,HARPER,W,20-0,No Poll,SYRACUSE,FRANK O'NEILL,No Poll
1915,HOME,OCT,2,1915,HARPER,W,32-0,No Poll,ALMA,W.C. BLAEMASTER,No Poll
1915,HOME,OCT,9,1915,HARPER,W,34-0,No Poll,HASKELL,DOC KENNEDY,No Poll
1915,AWAY,OCT,23,1915,HARPER,L,19-20,No Poll,NEBRASKA,JUMBO STIEHM,No Poll
1915,HOME,OCT,30,1915,HARPER,W,6-0,No Poll,SOUTH DAKOTA,"ION J, CORTRIGHT",No Poll
1915,AWAY,NOV,6,1915,HARPER,W,6-0,No Poll,ARMY,CHARLES DALY,No Poll
1915,AWAY,NOV,13,1915,HARPER,W,41-0,No Poll,CREIGHTON,TOMMY MILLS,No Poll
1915,AWAY,NOV,25,1915,HARPER,W,36-7,No Poll,TEXAS,DAVE ALLERDICE,No Poll
1915,AWAY,NOV,27,1915,HARPER,W,55-2,No Poll,RICE,PHIL ARBUCKLE,No Poll
1916,HOME,SEP,30,1916,HARPER,W,48-0,No Poll,CASE TECH,UNKNOWN,No Poll
1916,AWAY,OCT,7,1916,HARPER,W,48-0,No Poll,WESTERN RESERVE,UNKNOWN,No Poll
1916,HOME,OCT,14,1916,HARPER,W,26-0,No Poll,HASKELL,DOC KENNEDY,No Poll
1916,HOME,OCT,28,1916,HARPER,W,60-0,No Poll,WABASH,PAUL SHEEKS,No Poll
1916,AWAY,NOV,4,1916,HARPER,L,10-30,No Poll,ARMY,CHARLES DALY,No Poll
1916,SIOUX FALLS,NOV,11,1916,HARPER,W,21-0,No Poll,SOUTH DAKOTA,BLAINE McKUSICK,No Poll
1916,AWAY,NOV,18,1916,HARPER,W,14-0,No Poll,MICHIGAN STATE,FRANK SOMMERS,No Poll
1916,HOME,NOV,25,1916,HARPER,W,46-0,No Poll,ALMA,W.C. BLAEMASTER,No Poll
1916,AWAY,NOV,30,1916,HARPER,W,20-0,No Poll,NEBRASKA,E.J. STEWART,No Poll
1917,HOME,OCT,6,1917,HARPER,W,55-0,No Poll,KALAMAZOO,RALPH H. YOUNG,No Poll
1917,AWAY,OCT,13,1917,HARPER,T,0-0,No Poll,WISCONSIN,JOHN RICHARDS,No Poll
1917,AWAY,OCT,20,1917,HARPER,L,0-7,No Poll,NEBRASKA,E.J. STEWART,No Poll
1917,HOME,OCT,27,1917,HARPER,W,40-0,No Poll,SOUTH DAKOTA,BLAINE McKUSICK,No Poll
1917,AWAY,NOV,3,1917,HARPER,W,7-2,No Poll,ARMY,GEOFFREY KEYES,No Poll
1917,AWAY,NOV,10,1917,HARPER,W,13-0,No Poll,MORNINGSIDE,JASON M. SAUNDERSON,No Poll
1917,HOME,NOV,17,1917,HARPER,W,23-0,No Poll,MICHIGAN STATE,CHESTER BREWER,No Poll
1917,AWAY,NOV,24,1917,HARPER,W,3-0,No Poll,WASHINGTON & JEFFERSON,SOL METZGER,No Poll
1918,AWAY,SEP,28,1918,ROCKNE,W,26-6,No Poll,CASE TECH,UNKNOWN,No Poll
1918,AWAY,NOV,2,1918,ROCKNE,W,67-7,No Poll,WABASH,RUSSELL TOWNSEND,No Poll
1918,HOME,NOV,9,1918,ROCKNE,T,7-7,No Poll,GREAT LAKES NTS,UNKNOWN,No Poll
1918,AWAY,NOV,16,1918,ROCKNE,L,7-13,No Poll,MICHIGAN STATE,GEORGE GAUTHIER,No Poll
1918,AWAY,NOV,23,1918,ROCKNE,W,26-6,No Poll,PURDUE,BUTCH SCANLON,No Poll
1918,AWAY,NOV,28,1918,ROCKNE,T,0-0,No Poll,NEBRASKA,W.G. KLINE,No Poll
1919,HOME,OCT,4,1919,ROCKNE,W,14-0,No Poll,KALAMAZOO,RALPH H. YOUNG,No Poll
1919,HOME,OCT,11,1919,ROCKNE,W,60-7,No Poll,MOUNT UNION,GEORGE O'BRIEN,No Poll
1919,AWAY,OCT,18,1919,ROCKNE,W,14-9,No Poll,NEBRASKA,H.F.SCHULTE,No Poll
1919,HOME,OCT,25,1919,ROCKNE,W,53-0,No Poll,WESTERN MICHIGAN,WILLIAM SPAULDING,No Poll
1919,INDIANAPOLIS,NOV,1,1919,ROCKNE,W,16-3,No Poll,INDIANA,JUMBO STIEHM,No Poll
1919,AWAY,NOV,8,1919,ROCKNE,W,12-9,No Poll,ARMY,CHARLES DALY,No Poll
1919,HOME,NOV,15,1919,ROCKNE,W,13-0,No Poll,MICHIGAN STATE,CHESTER BREWER,No Poll
1919,AWAY,NOV,22,1919,ROCKNE,W,33-13,No Poll,PURDUE,BUTCH SCANLON,No Poll
1919,AWAY,NOV,27,1919,ROCKNE,W,14-6,No Poll,MORNINGSIDE,JASON M. SAUNDERSON,No Poll
1920,HOME,OCT,2,1920,ROCKNE,W,39-0,No Poll,KALAMAZOO,RALPH H. YOUNG,No Poll
1920,HOME,OCT,9,1920,ROCKNE,W,41-0,No Poll,WESTERN MICHIGAN,WILLIAM SPAULDING,No Poll
1920,AWAY,OCT,16,1920,ROCKNE,W,16-7,No Poll,NEBRASKA,FRED DAWSON,No Poll
1920,HOME,OCT,23,1920,ROCKNE,W,28-3,No Poll,VALPARAISO,GEORGE KEOGAN,No Poll
1920,AWAY,OCT,30,1920,ROCKNE,W,27-17,No Poll,ARMY,CHARLES DALY,No Poll
1920,HOME,NOV,6,1920,ROCKNE,W,28-0,No Poll,PURDUE,BUTCH SCANLON,No Poll
1920,INDIANAPOLIS,NOV,13,1920,ROCKNE,W,13-10,No Poll,INDIANA,JUMBO STIEHM,No Poll
1920,AWAY,NOV,20,1920,ROCKNE,W,33-7,No Poll,NORTHWESTERN,ELMER McDEVITT,No Poll
1920,AWAY,NOV,25,1920,ROCKNE,W,25-0,No Poll,MICHIGAN STATE,GEORGE CLARK,No Poll
1921,HOME,SEP,24,1921,ROCKNE,W,56-0,No Poll,KALAMAZOO,RALPH H. YOUNG,No Poll
1921,HOME,OCT,1,1921,ROCKNE,W,57-10,No Poll,DEPAUW,FRED M. WALKER,No Poll
1921,AWAY,OCT,8,1921,ROCKNE,L,10-21,No Poll,IOWA,HOWARD JONES,No Poll
1921,AWAY,OCT,15,1921,ROCKNE,W,33-0,No Poll,PURDUE,WILLIAM DIETZ,No Poll
1921,HOME,OCT,22,1921,ROCKNE,W,36-7,No Poll,NEBRASKA,FRED DAWSON,No Poll
1921,INDIANAPOLIS,OCT,29,1921,ROCKNE,W,28-7,No Poll,INDIANA,JUMBO STIEHM,No Poll
1921,AWAY,NOV,5,1921,ROCKNE,W,28-0,No Poll,ARMY,CHARLES DALY,No Poll
1921,POLO GROUNDS,NOV,8,1921,ROCKNE,W,48-0,No Poll,RUTGERS,G. FOSTER SANFORD,No Poll
1921,HOME,NOV,12,1921,ROCKNE,W,42-7,No Poll,HASKELL,MATTY BELL,No Poll
1921,AWAY,NOV,19,1921,ROCKNE,W,21-7,No Poll,MARQUETTE,JACK RYAN,No Poll
1921,HOME,NOV,24,1921,ROCKNE,W,48-0,No Poll,MICHIGAN STATE,ALBERT BARRON,No Poll
1922,HOME,SEP,30,1922,ROCKNE,W,46-0,No Poll,KALAMAZOO,RALPH H. YOUNG,No Poll
1922,HOME,OCT,7,1922,ROCKNE,W,26-0,No Poll,ST. LOUIS,UNKNOWN,No Poll
1922,AWAY,OCT,14,1922,ROCKNE,W,20-0,No Poll,PURDUE,JAMES PHELAN,No Poll
1922,HOME,OCT,21,1922,ROCKNE,W,34-7,No Poll,DEPAUW,JAMES N. ASHMORE,No Poll
1922,AWAY,OCT,28,1922,ROCKNE,W,13-3,No Poll,GEORGIA TECH,WILLIAM ALEXANDER,No Poll
1922,HOME,NOV,4,1922,ROCKNE,W,27-0,No Poll,INDIANA,JAMES HERRON,No Poll
1922,AWAY,NOV,11,1922,ROCKNE,T,0-0,No Poll,ARMY,CHARLES DALY,No Poll
1922,AWAY,NOV,18,1922,ROCKNE,W,31-3,No Poll,BUTLER,HARLAN PAGE,No Poll
1922,FORBES FIELD,NOV,25,1922,ROCKNE,W,19-0,No Poll,CARNEGIE TECH,WALTER STEFFEN,No Poll
1922,AWAY,NOV,30,1922,ROCKNE,L,7-14,No Poll,NEBRASKA,FRED DAWSON,No Poll
1923,HOME,SEP,29,1923,ROCKNE,W,74-0,No Poll,KALAMAZOO,RALPH H. YOUNG,No Poll
1923,HOME,OCT,6,1923,ROCKNE,W,14-0,No Poll,LOMBARD,PAUL J. SCHISSLER,No Poll
